url,pref,region,city
http://www.city.sapporo.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,札幌市
http://www.city.sapporo.jp/chuo/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,札幌市中央区
http://www.city.sapporo.jp/kitaku/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,札幌市北区
http://www.city.sapporo.jp/higashi/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,札幌市東区
http://www.city.sapporo.jp/shiroishi/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,札幌市白石区
http://www.city.sapporo.jp/toyohira/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,札幌市豊平区
http://www.city.sapporo.jp/minami/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,札幌市南区
http://www.city.sapporo.jp/nishi/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,札幌市西区
http://www.city.sapporo.jp/atsubetsu/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,札幌市厚別区
http://www.city.sapporo.jp/teine/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,札幌市手稲区
http://www.city.sapporo.jp/kiyota/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,札幌市清田区
http://www.city.otaru.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,小樽市
http://www.city.muroran.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,室蘭市
http://www.city.yubari.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,夕張市
http://www.city.iwamizawa.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,岩見沢市
http://www.city.tomakomai.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,苫小牧市
http://www.city.bibai.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,美唄市
http://www.city.ashibetsu.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,芦別市
http://www.city.ebetsu.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,江別市
http://www.city.akabira.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,赤平市
http://www.city.mikasa.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,三笠市
http://www.city.chitose.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,千歳市
http://www.city.takikawa.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,滝川市
http://www.city.sunagawa.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,砂川市
http://www.city.utashinai.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,歌志内市
http://www.city.fukagawa.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,深川市
http://www.city.noboribetsu.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,登別市
http://www.city.eniwa.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,恵庭市
http://www.city.date.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,伊達市
http://www.city.kitahiroshima.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,北広島市
http://www.city.ishikari.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,石狩市
http://www.town.tobetsu.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,当別町
http://www.vill.shinshinotsu.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,新篠津村
http://www.vill.shimamaki.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,島牧村
http://www.town.suttu.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,寿都町
http://www.kuromatsunai.com/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,黒松内町
http://www.town.rankoshi.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,蘭越町
http://www.town.niseko.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,ニセコ町
http://www.vill.makkari.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,真狩村
http://www.vill.rusutsu.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,留寿都村
http://www.town.kimobetsu.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,喜茂別町
http://www.town-kyogoku.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,京極町
http://www.town.kutchan.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,倶知安町
http://www.town.kyowa.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,共和町
http://www.town.iwanai.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,岩内町
http://www.vill.tomari.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,泊村
http://www.vill.kamoenai.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,神恵内村
http://www.town.shakotan.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,積丹町
http://www.town.furubira.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,古平町
http://www.town.niki.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,仁木町
http://www.town.yoichi.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,余市町
http://www.akaigawa.com/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,赤井川村
http://www.town.nanporo.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,南幌町
http://www.town.naie.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,奈井江町
http://town.kamisunagawa.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,上砂川町
http://www.town.yuni.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,由仁町
http://www.maoi-net.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,長沼町
http://www.town.kuriyama.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,栗山町
http://www.town.tsukigata.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,月形町
http://www.town.urausu.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,浦臼町
http://www.town.shintotsukawa.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,新十津川町
http://www.town.moseushi.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,妹背牛町
http://www.town.chippubetsu.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,秩父別町
http://www.town.uryu.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,雨竜町
http://www.town.hokuryu.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,北竜町
http://www.town.numata.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,沼田町
http://www.town.toyoura.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,豊浦町
https://www.town.sobetsu.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,壮瞥町
http://www.town.shiraoi.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,白老町
http://www.town.atsuma.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,厚真町
http://www.town.toyako.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,洞爺湖町
http://www.town.abira.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,安平町
http://www.town.mukawa.lg.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,むかわ町
http://www.town.hidaka.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,日高町
http://www.town.biratori.hokkaido.jp/,北海道地方,道央（空知地域／石狩地域／後志地域／胆振地域／日高地域）,平取町
